Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,161
2,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,146
3,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,137
4,Summer Girl (Bonus Track),HAIM,"Women In Music, Pt. III (Expanded Edition)",2019,Alternative,0:03:25,108
5,Used to This,Camila Cabello,Romance,2019,Pop,0:03:30,135
6,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,131
7,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,169
8,Hold Me Closer,Elton John & Britney Spears,Hold Me Closer - Single,2017,Pop,0:03:22,120
9,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,93
10,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,216
11,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,125
12,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,115
13,Shooting Star,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:19,119
14,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,107
15,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,108
16,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,100
17,Sidelines,Phoebe Bridgers,Sidelines - Single,2022,Alternative,0:04:24,121
18,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,192
19,In Your Eyes,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2020,Pop,0:04:58,103
20,White Mustang,Lana Del Rey,Lust for Life,2017,Alternative,0:02:44,264
21,The Sound,Carly Rae Jepsen,Dedicated,2019,Pop,0:02:51,201
22,3 AM,HAIM,"Women In Music, Pt. III (Expanded Edition)",2020,Alternative,0:03:10,54
23,Cry,Carly Rae Jepsen,E•MO•TION: Side B,2016,Pop,0:03:56,155
24,Anti-Hero,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:20,90
25,Phải Lòng Anh (Dream Ver.),MIN,50/50,2022,Pop,0:03:54,102
26,I Know Alone,HAIM,"Women In Music, Pt. III (Expanded Edition)",2020,Alternative,0:03:46,109
27,Western Wind,Carly Rae Jepsen,Western Wind - Single,2022,Pop,0:03:45,
28,Within,Bcalm & Hoogway,Elements,2021,Old School Rap,0:02:43,
29,Midnight Rain,Taylor Swift,Midnights (3am Edition),2022,Pop,0:02:54,69
30,could cry just thinkin about you (Full Version),Troye Sivan,could cry just thinkin about you (Full Version) - Single,2021,Pop,0:02:38,103
31,This Hell,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:56,84
32,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,80
33,angel,Kacey Musgraves,star-crossed,2021,Country,0:02:19,64
34,Good Ones,Charli XCX,CRASH,2021,Pop,0:02:16,84
35,honey,Halsey,"If I Can’t Have Love, I Want Power",2021,Alternative,0:02:53,104
36,Catch Me In The Air,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:35,84
37,Angels (feat. Kaash Paige),Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:49,88
38,So Nice,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:39,92
39,Superlove,Tinashe,Superlove - Single,2016,Pop,0:03:03,94
40,Now I'm In It (Bonus Track),HAIM,Women In Music Pt. III (Expanded Edition),2019,Alternative,0:03:24,64
41,Sofia,Clairo,Immunity,2019,Alternative,0:03:08,253
42,Boys,Sky Ferreira,"Night Time, My Time",2013,Pop,0:04:40,73
43,Andromeda,Weyes Blood,Titanic Rising,2019,Alternative,0:04:40,74
44,Beach House,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:29,76
45,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,41
46,How Can I Not Know What I Need Right Now,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:37,73
47,tolerate it,Taylor Swift,evermore (deluxe version),2020,Alternative,0:04:05,75
48,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,57
49,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,78
50,Porsche (feat. MØ),Charli XCX,Pop 2,2017,Pop,0:03:26,98
51,Cruel,The Aces,Under My Influence,2020,Alternative,0:03:15,182
52,Quiet,Camila Cabello,Familia,2022,Pop,0:02:43,71
53,Minor Feelings,Rina Sawayama,Hold The Girl,2022,Alternative,0:02:00,74
54,cowboy like me,Taylor Swift,evermore (deluxe version),2020,Alternative,0:04:35,63
55,Labyrinth,Taylor Swift,Midnights (3am Edition),2022,Pop,0:04:07,70
56,Twice,Charli XCX,CRASH,2022,Pop,0:03:14,68
57,Washing Machine Heart,Mitski,Be the Cowboy,2018,Indie Rock,0:02:08,104
58,Lucky,Charli XCX,Pop 2,2017,Pop,0:03:35,114
59,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:04:13,80
60,Crash,Charli XCX,CRASH,2022,Pop,0:02:09,70
61,Adore You,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),2019,Pop,0:03:45,68
62,A House In Nebraska,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:07:46,64
63,Holy (Til You Let Me Go),Rina Sawayama,Hold The Girl,2022,Alternative,0:03:19,63
64,Into It,Camila Cabello,Camila,2018,Pop,0:02:55,113
65,Surrender My Heart,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:48,68
66,Little of Your Love,HAIM,Something To Tell You,2017,Alternative,0:03:33,64
67,Party for One,Carly Rae Jepsen,Dedicated,2018,Pop,0:03:03,81
68,Lúc Thấy Lúc Không,Hoàng Thùy Linh,LINK,2022,Pop,0:02:53,86
69,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,70
70,Anxious (Bonus Track),Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:02:57,74
71,Scott Street,Phoebe Bridgers,Stranger in the Alps,2017,Alternative,0:05:05,89
72,American Teenager,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:04:18,60
73,Let Me Love You (feat. Lil Wayne),Ariana Grande,Dangerous Woman,2016,Pop,0:03:43,78
74,Go Find Yourself or Whatever,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:04:44,69
75,Snow On The Beach (feat. Lana Del Rey),Taylor Swift,Midnights (3am Edition),2022,Pop,0:04:16,58
76,Track 10,Charli XCX,Pop 2,2017,Pop,0:05:26,64
77,ICU,Phoebe Bridgers,Punisher,2020,Alternative,0:03:10,113
78,Bad Thing Twice,Carly Rae Jepsen,The Loneliest Time,2022,Pop,0:03:13,59
79,Sometimes,Britney Spears,...Baby One More Time (Deluxe Version),1999,Pop,0:04:05,109
80,listen before i go,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,Alternative,0:04:02,91
81,Let’s Get Lost,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:13,70
82,everytime,Ariana Grande,Sweetener,2018,Pop,0:02:52,62
83,Pristine,Snail Mail,Lush,2018,Alternative,0:04:55,57
84,Supercut,Lorde,Melodrama,2017,Alternative,0:04:37,95
85,Hurricanes,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:22,59
86,Don't Wanna,HAIM,Women In Music Pt. III,2020,Alternative,0:03:21,
87,Undo (Back To My Heart),Tinashe & Wax Motif,333 (Deluxe),2021,R&B/Soul,0:03:17,37
88,this is me trying,Taylor Swift,folklore (deluxe version),2020,Alternative,0:03:15,57
89,Something's Gotta Give,Camila Cabello,Camila,2018,Pop,0:03:56,106
90,Em Đây Chẳng Phải Thúy Kiều,Hoàng Thùy Linh,Hoàng,2019,Pop,0:03:34,90
91,Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:03:22,36
92,X (feat. Jeremih),Tinashe,333,2021,R&B/Soul,0:02:51,
93,Green Light,Lorde,Melodrama,2017,Alternative,0:03:54,125
94,Watercolor Eyes (From “Euphoria” An Original HBO Series),Lana Del Rey,Watercolor Eyes (From “Euphoria” An Original HBO Series) - Single,2022,Soundtrack,0:03:31,60
95,breadwinner,Kacey Musgraves,star-crossed,2021,Country,0:03:20,54
96,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,65
97,Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe),2014,Alternative,0:03:54,185
98,YOUTH,Troye Sivan,Blue Neighbourhood,2015,Pop,0:03:05,
99,Move Me,Charli XCX,CRASH,2022,Pop,0:02:27,55
100,Summertime Sadness,Lana Del Rey,Born to Die (Deluxe Version),2012,Alternative,0:04:25,84
