Position,Name,Artist,Album,Genre,Time,Plays
1,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,72
2,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,142
3,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,109
4,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,101
5,positions,Ariana Grande,Positions,Pop,0:02:52,116
6,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,115
7,willow,Taylor Swift,evermore,Alternative,0:03:34,95
8,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,66
9,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,72
10,Gimme More,Britney Spears,Blackout,Pop,0:04:11,206
11,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,83
12,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,65
13,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,20
14,Radar,Britney Spears,Blackout,Pop,0:03:49,105
15,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,80
16,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,82
17,gold rush,Taylor Swift,evermore,Alternative,0:03:05,93
18,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,107
19,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,61
20,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,54
21,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,149
22,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,56
23,august,Taylor Swift,folklore,Alternative,0:04:21,86
24,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,75
25,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,54
26,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,121
27,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,85
28,Freakshow,Britney Spears,Blackout,Pop,0:02:55,224
29,nasty,Ariana Grande,Positions,Pop,0:03:20,68
30,happiness,Taylor Swift,evermore,Alternative,0:05:15,58
31,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,47
32,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,51
33,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,108
34,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,101
35,Blue Banisters,Lana Del Rey,Blue Banisters - Single,Alternative,0:04:52,
36,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,100
37,Solar Power,Lorde,Solar Power,Alternative,0:03:12,12
38,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,114
39,34+35,Ariana Grande,Positions,Pop,0:02:53,77
40,seven,Taylor Swift,folklore,Alternative,0:03:28,92
41,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,151
42,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,86
43,the 1,Taylor Swift,folklore,Alternative,0:03:30,87
44,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,124
45,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,52
46,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,135
