Position,Name,Artist,Album,Genre,Time,Plays
28,I Can See the Future,Tinashe,333,R&B/Soul,0:02:56,26
29,Impossible,Clairo,Immunity,Alternative,0:03:50,71
30,The Only Heartbreaker,Mitski,Laurel Hell,Alternative,0:03:04,32
31,tolerate it,Taylor Swift,evermore (deluxe version),Alternative,0:04:05,46
32,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,184
33,Blame It On Your Love (feat. Lizzo),Charli XCX,Charli,Pop,0:03:11,20
34,February 2017 (feat. Clairo & Yaeji),Charli XCX,Charli,Pop,0:02:33,25
35,enemy,Charli XCX,how i'm feeling now,Pop,0:03:42,13
36,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,84
37,Out of My Head (feat. Tove Lo and ALMA),Charli XCX,Pop 2,Pop,0:03:55,38
38,party 4 u,Charli XCX,how i'm feeling now,Pop,0:04:56,15
39,I Don't Wanna Know,Charli XCX,Charli,Pop,0:03:05,11
40,The Blackest Day,Lana Del Rey,Honeymoon,Alternative,0:06:05,101
41,Once More to See You,Mitski,Puberty 2,Indie Rock,0:03:00,9
42,Happy,Mitski,Puberty 2,Indie Rock,0:03:40,9
43,Lucky,Charli XCX,Pop 2,Pop,0:03:35,100
44,1999,Charli XCX & Troye Sivan,Charli,Pop,0:03:09,89
45,anthems,Charli XCX,how i'm feeling now,Pop,0:02:51,11
46,Style,Taylor Swift,1989 (Deluxe Edition),Pop,0:03:51,
47,Love in the Dark,Adele,25,Pop,0:04:45,75
48,"I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar)",Charli XCX,Pop 2,Pop,0:03:51,29
49,Warm (feat. HAIM),Charli XCX,Charli,Pop,0:03:45,15
50,22 (Taylor's Version),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:03:50,47
51,pink diamond,Charli XCX,how i'm feeling now,Pop,0:02:04,14
52,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:10:13,69
53,Official,Charli XCX,Charli,Pop,0:03:04,10
54,Next Level Charli,Charli XCX,Charli,Pop,0:02:37,24
55,Dancing On My Own,Robyn,"Body Talk, Pt. 1",Electronic,0:04:45,62
56,Dan the Dancer,Mitski,Puberty 2,Indie Rock,0:02:25,8
57,Crack Baby,Mitski,Puberty 2,Indie Rock,0:04:52,22
58,A Loving Feeling,Mitski,Puberty 2,Indie Rock,0:01:32,20
59,Delicate,Taylor Swift,reputation,Pop,0:03:52,78
60,Texas Reznikoff,Mitski,Bury Me At Makeout Creek,Alternative,0:02:12,16
61,visions,Charli XCX,how i'm feeling now,Pop,0:03:49,9
62,Radio,Lana Del Rey,Born to Die (Deluxe Version),Alternative,0:03:34,33
63,Warm Blood,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),Pop,0:04:13,34
64,Invitation,Britney Spears,Glory (Deluxe),Pop,0:03:20,75
65,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:03:58,30
66,The Sound,Carly Rae Jepsen,Dedicated,Pop,0:02:51,154
67,Porsche (feat. MØ),Charli XCX,Pop 2,Pop,0:03:26,41
68,Thunder,Lana Del Rey,Blue Banisters,Alternative,0:04:19,78
69,abcdefu,GAYLE,abcdefu - Single,Pop,0:02:48,
70,Solo,Carly Rae Jepsen,Dedicated Side B,Pop,0:03:16,7
71,X (feat. Jeremih),Tinashe,333,R&B/Soul,0:02:51,75
72,Washing Machine Heart,Mitski,Be the Cowboy,Indie Rock,0:02:08,63
73,Take My Breath,The Weeknd,Dawn FM,R&B/Soul,0:05:39,3
74,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0:05:29,36
75,More Than Words (feat. Kamille),Little Mix,LM5 (Deluxe),Pop,0:03:18,28
76,Alewife,Clairo,Immunity,Alternative,0:03:33,116
77,Bags,Clairo,Immunity,Alternative,0:04:20,130
78,For Sure,Carly Rae Jepsen,Dedicated,Pop,0:03:04,62
79,Francis Forever,Mitski,Bury Me At Makeout Creek,Alternative,0:02:29,28
80,Know Better,Tinashe,Songs For You,R&B/Soul,0:06:56,51
81,West Coast,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:04:16,65
82,Touch It,Ariana Grande,Dangerous Woman,Pop,0:04:20,54
83,Getaway Car,Taylor Swift,reputation,Pop,0:03:53,94
84,Money Power Glory,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:04:30,48
85,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,31
86,First Love / Late Spring,Mitski,Bury Me At Makeout Creek,Alternative,0:04:38,77
87,Georgia,Phoebe Bridgers,Stranger in the Alps,Alternative,0:04:07,9
88,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,91
89,You Right (Extended),Doja Cat & The Weeknd,Planet Her (Deluxe),Pop,0:04:06,69
90,Love song,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:03:49,101
91,Gimmie Love,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),Pop,0:03:22,18
92,c2.0,Charli XCX,how i'm feeling now,Pop,0:03:40,9
93,"Shake It (feat. Big Freedia, CupcakKe, Brooke Candy & Pabllo Vittar)",Charli XCX,Charli,Pop,0:04:35,8
94,How You Get the Girl,Taylor Swift,1989 (Deluxe Edition),Pop,0:04:07,
95,Shame,Mitski,"Retired from Sad, New Career in Business",Alternative Folk,0:02:24,15
96,There's Too Much Love,Belle and Sebastian,Fold Your Hands Child You Walk Like a Peasant,Alternative,0:03:27,16
97,Zillionaire,The Aces,Under My Influence,Alternative,0:03:13,35
98,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,113
99,That's Our Lamp,Mitski,Laurel Hell,Alternative,0:02:24,4
100,everytime,Ariana Grande,Sweetener,Pop,0:02:52,23
