Position,Name,Artist,Album,Genre,Time,Plays
86,Sofia,Clairo,Immunity,Alternative,0:03:08,159
87,Bad at Love,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:01,108
88,Cool for the Summer,Demi Lovato,Confident,Pop,0:03:34,58
89,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,
90,the 1,Taylor Swift,folklore,Alternative,0:03:30,
91,happiness,Taylor Swift,evermore,Alternative,0:05:15,
92,Cruel,The Aces,Under My Influence,Alternative,0:03:15,70
93,my tears ricochet,Taylor Swift,folklore,Alternative,0:04:15,
94,Selfish,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:43,112
95,False God,Taylor Swift,Lover,Pop,0:03:20,97
96,Now or Never,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:34,66
97,If You Lie Down With Me,Lana Del Rey,Blue Banisters,Alternative,0:04:25,54
98,Safe & Sound (feat. The Civil Wars),Taylor Swift,The Hunger Games (Songs from District 12 and Beyond),Soundtrack,0:04:00,43
99,Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:03:54,127
100,Cherry Blossom,Lana Del Rey,Blue Banisters,Alternative,0:03:17,70
