Position,Name,Artist,Album,Genre,Time,Plays
1,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,176
2,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,87
3,positions,Ariana Grande,Positions,Pop,0:02:52,131
4,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,112
5,Gimme More,Britney Spears,Blackout,Pop,0:04:11,228
6,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,92
7,Blue Banisters,Lana Del Rey,Blue Banisters,Alternative,0:04:53,66
8,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,
9,Radar,Britney Spears,Blackout,Pop,0:03:49,135
10,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,154
11,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,80
12,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,113
13,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,181
14,nasty,Ariana Grande,Positions,Pop,0:03:20,90
15,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,76
16,Bags,Clairo,Immunity,Alternative,0:04:20,124
17,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,47
18,Going Home,The Aces,Under My Influence,Alternative,0:03:55,79
19,Wildflower Wildfire,Lana Del Rey,Blue Banisters,Alternative,0:04:47,63
20,Freakshow,Britney Spears,Blackout,Pop,0:02:55,241
21,Text Book,Lana Del Rey,Blue Banisters,Alternative,0:05:03,63
22,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,128
23,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,94
24,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,
25,willow,Taylor Swift,evermore,Alternative,0:03:34,
26,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,114
27,Arcadia,Lana Del Rey,Blue Banisters,Alternative,0:04:23,100
28,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,158
29,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Taylor Swift,Fearless (Taylor's Version),Country,0:04:37,66
30,Perfect Places,Lorde,Melodrama,Alternative,0:03:41,132
31,Sofia,Clairo,Immunity,Alternative,0:03:08,172
32,Cruel,The Aces,Under My Influence,Alternative,0:03:15,95
33,Solar Power,Lorde,Solar Power,Alternative,0:03:12,22
34,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,68
35,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,111
36,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,113
37,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,195
38,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,98
39,(I Got That) Boom Boom [feat. Ying Yang Twins],Britney Spears featuring Ying Yang Twins,In the Zone,Pop,0:04:49,96
40,Dark But Just a Game,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:55,59
41,Living Legend,Lana Del Rey,Blue Banisters,Alternative,0:04:01,77
42,Undo (Back To My Heart),Tinashe & Wax Motif,333,R&B/Soul,0:03:17,96
43,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,181
