Position,Name,Artist,Album,Genre,Time,Plays
79,Dealer,Lana Del Rey,Blue Banisters,Alternative,0:04:34,55
80,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,27
81,thế giới không anh,Phùng Khánh Linh,yesteryear,Pop,0:04:19,19
82,Cool for the Summer,Demi Lovato,Confident,Pop,0:03:34,52
83,Piece of Me,Britney Spears,Blackout,Pop,0:03:32,98
84,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,60
85,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,89
86,mirrorball,Taylor Swift,folklore,Alternative,0:03:28,80
87,coney island (feat. The National),Taylor Swift,evermore,Alternative,0:04:35,59
88,Venice Bitch,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:09:37,109
89,Perfect Places,Lorde,Melodrama,Alternative,0:03:41,112
90,my hair,Ariana Grande,Positions,Pop,0:02:38,64
91,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,21
92,Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:03:54,125
93,Daydream,The Aces,Under My Influence,Alternative,0:02:30,32
94,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,95
95,Shadow,Britney Spears,In the Zone,Pop,0:03:44,96
96,Zillionaire,The Aces,Under My Influence,Adult Alternative,0:03:13,
97,epiphany,Taylor Swift,folklore,Alternative,0:04:49,70
98,Selfish,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:43,108
99,Living Legend,Lana Del Rey,Blue Banisters,Alternative,0:04:01,59
100,False God,Taylor Swift,Lover,Pop,0:03:20,94
