Position,Name,Artist,Album,Genre,Time,Plays
68,Zillionaire,The Aces,Under My Influence,Alternative,0:03:13,29
69,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,161
70,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,Alternative,0:03:49,175
71,Shadow,Britney Spears,In the Zone,Pop,0:03:44,103
72,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,131
73,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,57
74,august,Taylor Swift,folklore,Alternative,0:04:21,
75,Cherry Blossom,Lana Del Rey,Blue Banisters,Alternative,0:03:17,82
76,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,
77,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,80
78,Everytime,Britney Spears,In the Zone,Pop,0:03:50,126
79,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,58
80,1121,Halsey,"If I Can’t Have Love, I Want Power",Alternative,0:02:42,114
81,Dealer,Lana Del Rey,Blue Banisters,Alternative,0:04:34,63
82,Toxic,Britney Spears,In the Zone,Pop,0:03:18,211
83,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,94
84,Your Type,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:03:19,114
85,Run Away with Me,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:04:11,83
86,test drive,Ariana Grande,Positions,Pop,0:02:02,68
87,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,27
88,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,56
89,Cool for the Summer,Demi Lovato,Confident,Pop,0:03:34,59
90,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,103
91,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,68
92,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,101
93,Piece of Me,Britney Spears,Blackout,Pop,0:03:32,103
94,Bad at Love,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:01,109
95,happiness,Taylor Swift,evermore,Alternative,0:05:15,
96,seven,Taylor Swift,folklore,Alternative,0:03:28,
97,Selfish,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:43,114
98,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,
99,the 1,Taylor Swift,folklore,Alternative,0:03:30,
100,Venice Bitch,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:09:37,115
