Position,Name,Artist,Album,Genre,Time,Plays
1,Yosemite,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:04,176
2,Let Me Love You Like a Woman,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:20,87
3,positions,Ariana Grande,Positions,Pop,0:02:52,131
4,drivers license,Olivia Rodrigo,SOUR,Pop,0:04:02,112
5,Gimme More,Britney Spears,Blackout,Pop,0:04:11,228
6,Blue Banisters,Lana Del Rey,Blue Banisters,Alternative,0:04:53,66
7,Radar,Britney Spears,Blackout,Pop,0:03:49,135
8,For Free (feat. Zella Day & Weyes Blood),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:11,92
9,Kyoto,Phoebe Bridgers,Punisher,Alternative,0:03:04,154
10,'tis the damn season,Taylor Swift,evermore,Alternative,0:03:49,
11,motive,Ariana Grande & Doja Cat,Positions,Pop,0:02:47,80
12,Strangers (feat. Lauren Jauregui),Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:41,113
13,Going Home,The Aces,Under My Influence,Alternative,0:03:55,79
14,I'm a Slave 4 U,Britney Spears,Britney (Deluxe Version),Pop,0:03:23,181
15,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),Country,0:03:55,47
16,nasty,Ariana Grande,Positions,Pop,0:03:20,90
17,Chemtrails Over the Country Club,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:31,76
18,Bags,Clairo,Immunity,Alternative,0:04:20,124
19,Wildflower Wildfire,Lana Del Rey,Blue Banisters,Alternative,0:04:47,63
20,Thinking Bout You,Ariana Grande,Dangerous Woman,Pop,0:03:20,129
21,Freakshow,Britney Spears,Blackout,Pop,0:02:55,241
22,Text Book,Lana Del Rey,Blue Banisters,Alternative,0:05:03,63
23,willow,Taylor Swift,evermore,Alternative,0:03:34,
24,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,94
25,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Taylor Swift,Fearless (Taylor's Version),Country,0:04:37,66
26,Perfect Places,Lorde,Melodrama,Alternative,0:03:41,132
27,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,158
28,exile (feat. Bon Iver),Taylor Swift,folklore,Alternative,0:04:45,
29,deja vu,Olivia Rodrigo,SOUR,Pop,0:03:35,114
30,Arcadia,Lana Del Rey,Blue Banisters,Alternative,0:04:23,100
31,Run Away with Me,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:04:11,
32,Your Type,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:03:19,
33,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,44
34,Sofia,Clairo,Immunity,Alternative,0:03:08,172
35,Cruel,The Aces,Under My Influence,Alternative,0:03:15,95
36,Solar Power,Lorde,Solar Power,Alternative,0:03:12,22
37,White Dress,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:05:33,68
38,Undo (Back To My Heart),Tinashe & Wax Motif,333,R&B/Soul,0:03:17,96
39,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,85
40,bad idea,Ariana Grande,"thank u, next",Pop,0:04:27,111
41,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,113
42,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,195
43,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,98
